company_id,company
1,Taxi Affiliation Services
2,Flash Cab
3,Globe Taxi
4,Blue Ribbon Taxi Association
5,City Service
6,Sun Taxi
7,Chicago Independents
8,Tac - American United Dispatch
9,Taxicab Insurance Agency Llc
10,5 Star Taxi
11,Medallion Leasin
12,Choice Taxi Association Inc
13,Tac - Yellow Cab Association
14,Wolley Taxi
15,Tac - Checker Cab Dispatch
16,Choice Taxi Association
17,Setare Inc
18,Chicago City Taxi Association
19,Top Cab
20,Star North Taxi Management Llc
21,Patriot Taxi Dba Peace Taxi Associat
22,"Taxicab Insurance Agency, LLC"
23,Chicago Taxicab
24,312 Medallion Management Corp
25,4053 - 40193 Adwar H. Nikola
26,Koam Taxi Association
27,6574 - Babylon Express Inc.
28,U Taxicab
29,5167 - 71969 5167 Taxi Inc
30,3556 - 36214 RC Andrews Cab
31,Tac - Yellow Non Color
32,2733 - 74600 Benny Jona
33,Metro Jet Taxi A.
34,Tac - Blue Diamond Dispatch
